OTTMUST00000117022.2;pct;2;1;7;1;1;2;7;9;8;14;11;4;4;2;4;0;1;1;2;2;1;1;0;3;2;1;1;1;1;1;50;647;788;597;0.661129568106312;903
OTTMUST00000008636.2;pct;3;0;8;1;9;2;2;4;8;20;7;3;1;3;2;1;0;0;4;2;4;1;1;2;1;1;1;1;2;1;432;903;525;471;0.520441988950276;905
OTTMUST00000068610.2;pct;11;35;23;30;17;24;60;34;49;61;49;4;11;6;8;1;7;2;2;10;4;2;2;2;13;5;5;3;5;8;1;871;920;870;0.226326742976067;3844
OTTMUST00000077535.1;pct;11;27;22;25;15;25;40;28;62;51;52;2;5;11;3;0;12;4;5;7;4;4;6;7;7;6;1;8;3;9;0;729;779;729;0.253125;2880
OTTMUST00000089991.1;pct;3;8;10;6;5;4;15;12;16;32;28;5;3;3;2;2;0;0;4;1;3;1;1;1;6;0;0;1;1;3;246;1782;1716.5;1536;0.802507836990596;1914
OTTMUST00000127758.1;pct;7;48;22;65;49;39;80;85;107;77;132;14;13;6;7;9;18;6;7;4;6;7;7;5;20;10;10;8;4;22;212;4949;4931;4737;0.679822043628014;6968
OTTMUST00000086408.1;pct;11;4;16;8;11;8;28;33;31;78;47;3;12;10;7;3;3;2;9;6;2;2;3;2;8;3;1;3;1;5;51;1173;1322;1122;0.363459669582119;3087
OTTMUST00000022636.1;pct;18;11;26;9;30;9;40;49;34;108;73;6;16;19;15;4;5;1;8;12;5;4;7;9;11;5;7;5;2;8;86;2672;2786;2586;0.56413612565445;4584
OTTMUST00000012241.2;pct;6;16;6;17;8;15;46;30;43;21;52;4;5;1;1;0;13;1;3;1;3;2;1;2;8;1;4;2;2;9;405;1107;893;702;0.275510204081633;2548
OTTMUST00000065770.1;pct;4;31;11;14;10;33;68;39;62;52;66;3;12;5;1;1;11;0;4;2;1;1;3;2;8;4;5;2;4;11;64;1003;1139;939;0.270683194004036;3469
OTTMUST00000147795.1;pct;9;8;19;6;27;10;29;42;29;82;54;11;15;10;4;2;4;1;10;7;3;9;10;3;6;3;3;4;8;5;234;3054;2963;2820;0.668404835269021;4219
OTTMUST00000055498.1;pct;5;8;9;1;6;10;3;8;23;29;14;5;3;3;7;0;1;1;2;2;4;1;6;5;1;2;0;2;2;1;79;1030;1151;951;0.720454545454545;1320
OTTMUST00000062188.1;pct;2;10;21;5;27;15;41;52;44;71;63;6;15;14;10;11;10;2;5;6;4;5;7;9;9;5;1;9;5;8;0;1329;1379;1329;0.307141206378553;4327
OTTMUST00000059580.2;pct;0;4;18;4;11;3;15;16;23;61;30;0;7;2;5;1;1;0;4;1;1;1;2;3;2;2;1;1;2;2;304;1693;1552;1389;0.59741935483871;2325
OTTMUST00000140900.1;pct;14;7;18;5;24;12;26;40;38;113;66;10;21;8;12;4;8;3;3;6;9;0;13;6;14;3;1;6;1;7;109;1726;1812.5;1617;0.390202702702703;4144
OTTMUST00000093980.3;pct;3;0;6;1;4;1;2;2;7;14;3;3;1;3;3;0;0;0;1;1;2;1;4;1;3;1;1;1;0;0;170;317;247;147;0.272222222222222;540
