OTTMUST00000132036.1;linc;2;6;1;3;5;1;7;6;8;4;5;0;2;0;1;0;1;0;0;1;2;0;1;0;0;3;0;0;0;0;102;165;263;63;0.147196261682243;428
OTTMUST00000137214.1;linc;2;3;2;4;2;1;4;3;8;2;5;0;1;0;2;0;1;0;0;0;2;1;0;1;3;0;0;1;1;1;2;257;305;255;0.653846153846154;390
OTTMUST00000020443.1;linc;0;0;3;1;9;1;2;3;4;9;3;1;1;3;0;1;2;1;1;2;1;0;4;0;2;1;1;2;2;2;83;149;266;66;0.142241379310345;464
OTTMUST00000155668.1;linc;1;4;2;3;1;5;1;4;15;14;13;2;1;1;2;0;2;0;2;0;0;1;0;1;0;0;1;1;0;1;12;81;269;69;0.0867924528301887;795
OTTMUST00000150933.1;linc;0;2;0;2;3;5;2;2;6;13;8;1;0;0;0;1;1;0;0;0;1;0;1;1;1;0;0;0;1;3;91;163;272;72;0.132596685082873;543
OTTMUST00000139459.1;linc;5;15;16;13;8;17;20;21;30;40;44;2;3;1;7;0;11;4;6;4;4;1;2;2;10;4;0;2;5;12;0;366;416;366;0.155943757988922;2347
OTTMUST00000126260.1;linc;0;0;1;3;1;2;5;4;8;7;7;2;2;0;0;0;1;1;3;1;0;1;0;0;0;0;2;0;1;0;119;290;367.5;171;0.42964824120603;398
OTTMUST00000122483.1;linc;0;4;1;2;1;5;8;6;5;9;11;0;3;1;0;1;2;0;1;1;1;0;0;0;2;0;0;0;0;0;330;456;275.5;126;0.207236842105263;608
OTTMUST00000122162.1;linc;3;6;10;9;11;9;10;7;19;25;15;0;0;3;6;0;3;2;0;0;1;2;1;2;4;1;2;1;2;2;1;232;281;231;0.157036029911625;1471
OTTMUST00000131853.1;linc;0;4;1;4;2;5;9;5;10;12;15;1;1;0;2;0;0;0;1;0;0;0;0;0;4;0;1;0;0;3;74;131;257;57;0.0787292817679558;724
OTTMUST00000145286.1;linc;1;8;7;14;5;10;33;21;30;50;35;3;8;3;2;0;8;1;0;2;3;2;1;0;7;1;0;1;0;2;0;276;326;276;0.105062809288161;2627
OTTMUST00000125172.1;linc;0;1;2;2;0;4;5;8;10;8;8;0;1;0;0;0;3;1;0;0;0;0;0;0;1;0;0;0;0;2;299;455;251.5;156;0.250401284109149;623
