Transcript ID	Prediction	Noncoding Score
OTTMUST00000017422.2	coding	0.3273
OTTMUST00000096101.1	noncoding	0.9277
OTTMUST00000053544.1	noncoding	0.9353
OTTMUST00000037425.3	coding	0.3161
OTTMUST00000144481.1	noncoding	0.9228
OTTMUST00000063084.1	noncoding	0.7707
OTTMUST00000155455.1	noncoding	0.9112
OTTMUST00000052468.3	noncoding	0.9331
OTTMUST00000118696.1	noncoding	0.8239
OTTMUST00000069669.1	noncoding	0.8301
OTTMUST00000150624.1	noncoding	0.9022
OTTMUST00000041990.1	noncoding	0.6589
OTTMUST00000124182.1	noncoding	0.7273
OTTMUST00000094398.1	noncoding	0.9350
OTTMUST00000157532.1	noncoding	0.9518
OTTMUST00000015869.2	noncoding	0.7990
OTTMUST00000070082.1	noncoding	0.9669
OTTMUST00000089775.1	noncoding	0.9087
OTTMUST00000111402.1	coding	0.0282
OTTMUST00000082811.4	noncoding	0.7266
OTTMUST00000058920.1	noncoding	0.9204
OTTMUST00000125879.1	noncoding	0.8951
OTTMUST00000009059.1	noncoding	0.7658
OTTMUST00000067016.2	noncoding	0.9494
OTTMUST00000140707.1	noncoding	0.8830
OTTMUST00000134131.1	noncoding	0.9352
OTTMUST00000134284.1	noncoding	0.9526
OTTMUST00000095535.1	noncoding	0.8061
OTTMUST00000083168.1	noncoding	0.6756
OTTMUST00000045331.1	noncoding	0.7041
OTTMUST00000154963.1	coding	0.1351
OTTMUST00000088512.1	coding	0.3855
OTTMUST00000060485.2	noncoding	0.9616
OTTMUST00000014747.1	noncoding	0.8691
OTTMUST00000073909.2	noncoding	0.9627
OTTMUST00000150576.1	noncoding	0.9120
OTTMUST00000071436.1	noncoding	0.9437
OTTMUST00000058587.1	noncoding	0.8622
OTTMUST00000071875.2	noncoding	0.9447
OTTMUST00000129126.2	noncoding	0.7629
OTTMUST00000000319.2	coding	0.2792
OTTMUST00000114420.1	noncoding	0.9403
OTTMUST00000127693.1	noncoding	0.7099
OTTMUST00000049217.1	coding	0.1904
OTTMUST00000137878.1	noncoding	0.8736
OTTMUST00000056175.1	noncoding	0.8227
OTTMUST00000156777.1	coding	0.3338
OTTMUST00000146872.2	coding	0.0167
OTTMUST00000153284.1	noncoding	0.9393
OTTMUST00000050060.2	noncoding	0.9488
OTTMUST00000147503.1	noncoding	0.7709
OTTMUST00000042509.1	noncoding	0.8231
OTTMUST00000143596.2	noncoding	0.9568
OTTMUST00000081992.1	noncoding	0.9141
OTTMUST00000011450.1	noncoding	0.9417
OTTMUST00000053730.1	coding	0.2988
OTTMUST00000082761.1	noncoding	0.8152
OTTMUST00000066520.2	noncoding	0.9862
OTTMUST00000075771.2	noncoding	0.8280
OTTMUST00000004591.6	coding	0.1897
OTTMUST00000152063.1	noncoding	0.9108
OTTMUST00000057437.5	noncoding	0.8363
OTTMUST00000064593.1	noncoding	0.7604
OTTMUST00000154125.1	coding	0.0064
OTTMUST00000090205.2	noncoding	0.6627
OTTMUST00000159331.1	noncoding	0.7104
OTTMUST00000113890.3	noncoding	0.9200
OTTMUST00000056736.2	coding	0.0526
OTTMUST00000074895.1	coding	0.3897
OTTMUST00000073816.1	noncoding	0.5799
OTTMUST00000122996.1	coding	0.4356
OTTMUST00000046301.2	noncoding	0.7063
OTTMUST00000074556.1	noncoding	0.9374
OTTMUST00000111231.3	noncoding	0.8841
OTTMUST00000152444.1	noncoding	0.9772
OTTMUST00000053896.1	noncoding	0.8514
OTTMUST00000134938.2	noncoding	0.9011
OTTMUST00000037047.1	noncoding	0.7061
OTTMUST00000045423.2	noncoding	0.7168
OTTMUST00000045676.2	noncoding	0.6795
OTTMUST00000147275.1	noncoding	0.7539
OTTMUST00000088116.3	noncoding	0.7826
OTTMUST00000145996.2	coding	0.1913
OTTMUST00000089933.1	coding	0.0317
OTTMUST00000155976.1	noncoding	0.9890
OTTMUST00000035936.1	noncoding	0.9378
OTTMUST00000065738.1	noncoding	0.6439
OTTMUST00000049804.3	noncoding	0.7282
OTTMUST00000084518.1	noncoding	0.8202
OTTMUST00000140553.1	noncoding	0.7649
OTTMUST00000151919.2	noncoding	0.8831
OTTMUST00000054238.1	noncoding	0.9435
OTTMUST00000078915.1	noncoding	0.8015
OTTMUST00000152514.1	noncoding	0.8785
OTTMUST00000154021.2	noncoding	0.9529
OTTMUST00000055304.1	noncoding	0.7050
OTTMUST00000003921.1	noncoding	0.9217
OTTMUST00000047615.2	noncoding	0.9745
OTTMUST00000138594.1	noncoding	0.9512
OTTMUST00000147554.1	noncoding	0.8765
OTTMUST00000149686.2	noncoding	0.9380
OTTMUST00000124490.1	noncoding	0.9295
OTTMUST00000151311.1	noncoding	0.9588
OTTMUST00000066916.1	noncoding	0.7988
OTTMUST00000001481.1	noncoding	0.7717
OTTMUST00000009717.1	noncoding	0.7391
OTTMUST00000064217.1	noncoding	0.6230
OTTMUST00000090008.1	noncoding	0.9664
OTTMUST00000098008.2	coding	0.0957
OTTMUST00000071252.3	noncoding	0.9252
OTTMUST00000081503.2	noncoding	0.8938
OTTMUST00000139150.2	noncoding	0.9598
OTTMUST00000066915.1	noncoding	0.8144
OTTMUST00000028393.1	noncoding	0.7312
OTTMUST00000116557.2	noncoding	0.9200
OTTMUST00000035809.1	noncoding	0.9204
OTTMUST00000059106.1	noncoding	0.7785
OTTMUST00000059472.2	noncoding	0.7849
OTTMUST00000095680.3	noncoding	0.9710
OTTMUST00000128732.2	noncoding	0.7527
OTTMUST00000125683.3	coding	0.2949
OTTMUST00000002304.1	noncoding	0.9179
OTTMUST00000057034.2	noncoding	0.9222
OTTMUST00000076828.1	noncoding	0.7756
OTTMUST00000103282.2	noncoding	0.7476
OTTMUST00000083935.3	noncoding	0.8541
OTTMUST00000023909.1	noncoding	0.8786
OTTMUST00000095787.1	coding	0.3948
OTTMUST00000073867.1	noncoding	0.8970
OTTMUST00000072535.2	noncoding	0.9701
OTTMUST00000082309.1	coding	0.0000
OTTMUST00000081014.1	noncoding	0.8895
OTTMUST00000019709.2	noncoding	0.8345
OTTMUST00000141180.1	noncoding	0.9530
OTTMUST00000156218.1	noncoding	0.8606
OTTMUST00000051066.1	coding	0.4149
OTTMUST00000138157.2	noncoding	0.8454
OTTMUST00000142919.1	noncoding	0.9226
OTTMUST00000074690.1	noncoding	0.8778
OTTMUST00000073263.1	noncoding	0.9012
OTTMUST00000117738.2	noncoding	0.9474
OTTMUST00000055652.2	noncoding	0.9850
OTTMUST00000074410.1	noncoding	0.8987
OTTMUST00000060481.2	noncoding	0.9441
OTTMUST00000138857.2	noncoding	0.7225
OTTMUST00000021328.1	coding	0.1159
OTTMUST00000140173.1	noncoding	0.7528
OTTMUST00000058754.2	noncoding	0.8263
OTTMUST00000115828.1	coding	0.0452
OTTMUST00000041008.1	noncoding	0.9335
OTTMUST00000013939.1	noncoding	0.7125
OTTMUST00000040254.1	noncoding	0.9168
OTTMUST00000123737.1	noncoding	0.9420
OTTMUST00000041470.1	noncoding	0.7305
OTTMUST00000043092.3	coding	0.0391
OTTMUST00000103392.2	coding	0.0742
OTTMUST00000054971.1	coding	0.3150
OTTMUST00000053681.1	noncoding	0.8157
OTTMUST00000116019.1	noncoding	0.8672
OTTMUST00000066144.5	noncoding	0.9498
OTTMUST00000000468.2	noncoding	0.7066
OTTMUST00000065647.1	noncoding	0.9627
OTTMUST00000058553.2	coding	0.2502
OTTMUST00000066215.1	coding	0.2676
OTTMUST00000152236.1	noncoding	0.8848
OTTMUST00000075076.2	noncoding	0.9257
OTTMUST00000152054.1	noncoding	0.7610
OTTMUST00000134092.1	noncoding	0.7181
OTTMUST00000122904.1	noncoding	0.7137
OTTMUST00000051218.1	noncoding	0.9265
OTTMUST00000158114.1	coding	0.0000
OTTMUST00000131031.1	noncoding	0.9341
OTTMUST00000139513.4	noncoding	0.9450
OTTMUST00000130032.1	noncoding	0.9643
OTTMUST00000092668.1	noncoding	0.9728
OTTMUST00000120787.1	noncoding	0.9233
OTTMUST00000061659.1	noncoding	0.9526
OTTMUST00000046414.1	noncoding	0.9068
OTTMUST00000111357.1	coding	0.3267
OTTMUST00000058595.1	noncoding	0.7532
OTTMUST00000077061.1	noncoding	0.8290
OTTMUST00000069153.1	noncoding	0.8810
OTTMUST00000088916.11	noncoding	0.5575
OTTMUST00000035883.1	noncoding	0.9688
OTTMUST00000155287.1	noncoding	0.9522
OTTMUST00000149384.1	noncoding	0.9698
OTTMUST00000150431.1	noncoding	0.8922
OTTMUST00000061158.1	noncoding	0.9201
OTTMUST00000046368.2	noncoding	0.8102
OTTMUST00000050381.1	coding	0.1040
OTTMUST00000098133.5	noncoding	0.9676
OTTMUST00000035858.3	coding	0.3873
OTTMUST00000158959.1	coding	0.0000
OTTMUST00000157039.1	noncoding	0.9037
OTTMUST00000071641.1	noncoding	0.7722
OTTMUST00000007032.1	noncoding	0.9327
OTTMUST00000062326.1	noncoding	0.8333
OTTMUST00000035775.4	noncoding	0.8758
OTTMUST00000146871.2	noncoding	0.8907
OTTMUST00000145131.1	noncoding	0.8606
OTTMUST00000013733.2	coding	0.3910
OTTMUST00000021786.2	noncoding	0.6181
OTTMUST00000149366.1	noncoding	0.9249
OTTMUST00000054602.1	noncoding	0.8364
OTTMUST00000121744.1	coding	0.0122
OTTMUST00000052501.1	noncoding	0.8179
OTTMUST00000016577.1	noncoding	0.8718
OTTMUST00000125203.1	noncoding	0.7261
