Transcript ID	Prediction	Noncoding Score
OTTMUST00000079232.1	noncoding	0.6224
OTTMUST00000147179.1	noncoding	0.9132
OTTMUST00000078511.1	noncoding	0.8960
OTTMUST00000033861.2	coding	0.2625
OTTMUST00000054191.3	coding	0.0020
OTTMUST00000103744.1	coding	0.0793
OTTMUST00000089808.1	noncoding	0.9492
OTTMUST00000052154.1	noncoding	0.8875
OTTMUST00000096316.1	noncoding	0.8286
OTTMUST00000041980.1	noncoding	0.8771
OTTMUST00000097059.2	noncoding	0.9881
OTTMUST00000097936.1	coding	0.0592
OTTMUST00000046585.2	noncoding	0.8003
OTTMUST00000043446.2	noncoding	0.5921
OTTMUST00000159922.1	noncoding	0.8369
OTTMUST00000054214.3	noncoding	0.6973
OTTMUST00000061895.1	noncoding	0.8750
OTTMUST00000135101.1	coding	0.4302
OTTMUST00000078324.2	noncoding	0.9642
OTTMUST00000052381.1	noncoding	0.8591
OTTMUST00000144992.2	noncoding	0.8730
OTTMUST00000088588.1	noncoding	0.9368
OTTMUST00000095727.1	noncoding	0.9623
OTTMUST00000001105.2	coding	0.0783
OTTMUST00000143662.1	coding	0.0060
OTTMUST00000001085.2	coding	0.1387
OTTMUST00000056105.2	noncoding	0.8314
OTTMUST00000055319.1	noncoding	0.8799
OTTMUST00000148881.1	noncoding	0.8540
OTTMUST00000066349.1	noncoding	0.8571
OTTMUST00000053806.1	noncoding	0.7641
OTTMUST00000006595.3	noncoding	0.7397
OTTMUST00000002908.2	coding	0.0898
OTTMUST00000088400.1	noncoding	0.9555
OTTMUST00000041465.1	coding	0.0047
OTTMUST00000096141.1	noncoding	0.6124
OTTMUST00000065691.1	noncoding	0.5605
OTTMUST00000115787.2	noncoding	0.8918
OTTMUST00000071463.1	noncoding	0.6743
OTTMUST00000144884.1	coding	0.0874
OTTMUST00000117424.2	noncoding	0.9576
OTTMUST00000064824.1	noncoding	0.8546
OTTMUST00000034099.1	noncoding	0.6932
OTTMUST00000054194.1	noncoding	0.9572
OTTMUST00000023719.3	noncoding	0.8717
OTTMUST00000092498.1	noncoding	0.8213
OTTMUST00000085800.2	noncoding	0.8064
OTTMUST00000084216.2	noncoding	0.8899
OTTMUST00000036656.1	noncoding	0.8748
OTTMUST00000042569.2	noncoding	0.9333
OTTMUST00000072825.2	noncoding	0.9268
OTTMUST00000049266.2	noncoding	0.7551
OTTMUST00000098325.2	coding	0.1182
OTTMUST00000032227.1	noncoding	0.8996
OTTMUST00000111045.2	noncoding	0.8277
OTTMUST00000005530.2	noncoding	0.7493
OTTMUST00000154795.1	noncoding	0.7308
OTTMUST00000062508.1	noncoding	0.8472
OTTMUST00000046175.1	noncoding	0.8987
OTTMUST00000125080.1	noncoding	0.8716
OTTMUST00000086407.1	noncoding	0.9191
OTTMUST00000138939.1	noncoding	0.9642
OTTMUST00000096591.1	coding	0.0291
OTTMUST00000023191.1	noncoding	0.9036
OTTMUST00000052491.1	coding	0.0000
OTTMUST00000126063.2	noncoding	0.9846
OTTMUST00000057027.1	noncoding	0.8985
OTTMUST00000053315.1	coding	0.3353
OTTMUST00000124428.1	noncoding	0.8879
OTTMUST00000045112.1	coding	0.0000
OTTMUST00000121581.1	noncoding	0.9017
OTTMUST00000080644.1	coding	0.0651
OTTMUST00000077628.1	coding	0.2366
OTTMUST00000079214.1	noncoding	0.8432
OTTMUST00000096717.2	coding	0.2358
OTTMUST00000095587.1	coding	0.2239
OTTMUST00000089983.2	noncoding	0.9045
OTTMUST00000036602.1	noncoding	0.7924
OTTMUST00000015124.3	noncoding	0.9455
OTTMUST00000094738.1	noncoding	0.8623
OTTMUST00000110082.1	noncoding	0.6861
OTTMUST00000159534.1	coding	0.2002
OTTMUST00000045182.1	noncoding	0.9154
OTTMUST00000129138.2	noncoding	0.8909
OTTMUST00000065601.3	noncoding	0.8636
OTTMUST00000096989.2	coding	0.0580
OTTMUST00000029627.2	noncoding	0.9103
OTTMUST00000077688.1	noncoding	0.7904
OTTMUST00000038747.1	coding	0.3237
OTTMUST00000031901.4	coding	0.1226
OTTMUST00000098095.1	noncoding	0.6973
OTTMUST00000083149.1	coding	0.3003
OTTMUST00000041151.2	noncoding	0.9060
OTTMUST00000126129.1	noncoding	0.8491
OTTMUST00000013591.1	noncoding	0.7657
OTTMUST00000051885.1	coding	0.0250
OTTMUST00000148997.1	noncoding	0.9430
OTTMUST00000080434.3	noncoding	0.9994
OTTMUST00000070842.3	noncoding	0.8396
OTTMUST00000056977.2	noncoding	0.9169
OTTMUST00000030862.1	coding	0.2361
OTTMUST00000025041.1	coding	0.4262
OTTMUST00000040324.1	coding	0.1129
OTTMUST00000039768.1	coding	0.0015
OTTMUST00000065974.3	noncoding	0.8594
OTTMUST00000068587.3	noncoding	0.9627
OTTMUST00000111666.1	noncoding	0.9429
OTTMUST00000075330.1	noncoding	0.6075
OTTMUST00000142833.1	noncoding	0.5178
OTTMUST00000083857.4	noncoding	0.6892
OTTMUST00000156047.1	noncoding	0.8971
OTTMUST00000014059.2	coding	0.3751
OTTMUST00000073149.2	noncoding	0.6972
OTTMUST00000153997.1	coding	0.1961
OTTMUST00000123813.1	coding	0.2822
OTTMUST00000032140.4	coding	0.1723
OTTMUST00000088920.1	noncoding	0.8745
OTTMUST00000140610.1	noncoding	0.6676
OTTMUST00000084987.1	noncoding	0.8026
OTTMUST00000038864.1	noncoding	0.9484
OTTMUST00000087628.1	noncoding	0.7004
OTTMUST00000041475.4	noncoding	0.8613
OTTMUST00000121202.2	noncoding	0.9755
OTTMUST00000139630.1	coding	0.1050
OTTMUST00000146949.1	noncoding	0.8819
OTTMUST00000079102.3	noncoding	0.9010
OTTMUST00000068433.4	noncoding	0.7862
OTTMUST00000084109.1	noncoding	0.8933
OTTMUST00000068836.2	coding	0.2424
OTTMUST00000043591.2	coding	0.1212
OTTMUST00000011917.3	coding	0.2791
OTTMUST00000035713.1	coding	0.1502
OTTMUST00000032791.4	noncoding	0.8870
OTTMUST00000116940.2	noncoding	0.8383
OTTMUST00000116585.1	noncoding	0.9450
OTTMUST00000093782.2	coding	0.1958
OTTMUST00000096541.1	noncoding	0.6376
OTTMUST00000089923.1	noncoding	0.9495
OTTMUST00000073014.2	noncoding	0.8392
OTTMUST00000047776.6	noncoding	0.6698
OTTMUST00000126125.2	noncoding	0.9505
OTTMUST00000123972.1	noncoding	0.7070
OTTMUST00000073346.1	noncoding	0.9637
OTTMUST00000065943.1	coding	0.1099
OTTMUST00000150237.1	coding	0.4391
OTTMUST00000131174.2	coding	0.2334
OTTMUST00000041455.1	noncoding	0.7675
OTTMUST00000053951.1	coding	0.0753
OTTMUST00000135021.1	coding	0.3367
OTTMUST00000122109.1	noncoding	0.9674
OTTMUST00000054174.1	noncoding	0.8901
OTTMUST00000057852.1	noncoding	0.8280
OTTMUST00000127267.2	noncoding	0.9219
OTTMUST00000111043.2	noncoding	0.7576
OTTMUST00000074406.2	noncoding	0.9532
OTTMUST00000089350.1	coding	0.2628
OTTMUST00000089285.2	coding	0.3357
OTTMUST00000000369.1	noncoding	0.6857
OTTMUST00000154694.1	noncoding	0.8321
OTTMUST00000086508.1	noncoding	0.9725
OTTMUST00000082841.3	noncoding	0.8870
OTTMUST00000077759.1	noncoding	0.6006
OTTMUST00000126563.1	noncoding	0.9032
OTTMUST00000130136.2	noncoding	0.6396
OTTMUST00000039036.1	noncoding	0.7990
OTTMUST00000076076.3	noncoding	0.8673
OTTMUST00000074333.2	noncoding	0.6987
OTTMUST00000085170.1	noncoding	0.8312
OTTMUST00000159876.1	noncoding	0.9328
OTTMUST00000060623.1	noncoding	0.7625
OTTMUST00000046431.1	noncoding	0.8976
OTTMUST00000072384.3	noncoding	0.9583
OTTMUST00000080235.2	coding	0.0494
OTTMUST00000060044.1	noncoding	0.9496
OTTMUST00000015903.1	noncoding	0.9108
OTTMUST00000028350.2	noncoding	0.9402
OTTMUST00000057076.1	noncoding	0.9537
OTTMUST00000034580.1	coding	0.0000
OTTMUST00000133820.2	noncoding	0.9695
OTTMUST00000044186.2	coding	0.3582
OTTMUST00000064170.1	noncoding	0.5707
OTTMUST00000079158.3	noncoding	0.6669
OTTMUST00000074594.1	noncoding	0.9221
