Transcript ID	Prediction	Noncoding Score
OTTMUST00000149318.2	noncoding	0.9241
OTTMUST00000079826.1	noncoding	0.9994
OTTMUST00000007576.1	noncoding	0.8707
OTTMUST00000078072.2	noncoding	0.8177
OTTMUST00000027697.1	noncoding	0.9046
OTTMUST00000141029.1	noncoding	0.9354
OTTMUST00000144478.1	noncoding	0.7824
OTTMUST00000152743.1	noncoding	0.7667
OTTMUST00000029056.3	noncoding	0.9223
OTTMUST00000066604.2	noncoding	0.6030
OTTMUST00000013620.1	noncoding	0.5480
OTTMUST00000135306.2	noncoding	0.9353
OTTMUST00000096846.3	noncoding	0.7326
OTTMUST00000090445.5	noncoding	0.9221
OTTMUST00000064754.1	noncoding	0.9155
OTTMUST00000090683.2	noncoding	0.9019
OTTMUST00000046955.3	noncoding	0.9785
OTTMUST00000110015.1	noncoding	0.6682
OTTMUST00000096035.3	noncoding	0.9268
OTTMUST00000104097.1	noncoding	0.7065
OTTMUST00000078919.1	noncoding	0.7958
OTTMUST00000037031.1	noncoding	0.6932
OTTMUST00000147022.2	noncoding	0.9427
OTTMUST00000096246.1	coding	0.2837
OTTMUST00000011466.2	noncoding	0.9401
OTTMUST00000012808.1	noncoding	0.9702
OTTMUST00000087123.1	noncoding	0.9080
OTTMUST00000044097.2	coding	0.1590
OTTMUST00000096003.1	coding	0.1459
OTTMUST00000012130.4	noncoding	0.7857
OTTMUST00000075664.2	noncoding	0.6702
OTTMUST00000102830.1	coding	0.0229
OTTMUST00000091051.2	noncoding	0.8562
OTTMUST00000072237.2	noncoding	0.7634
OTTMUST00000157401.1	noncoding	0.8755
OTTMUST00000143015.1	noncoding	0.9678
OTTMUST00000030310.1	coding	0.2567
OTTMUST00000078619.1	coding	0.2899
OTTMUST00000131054.1	coding	0.2917
OTTMUST00000090060.2	noncoding	0.7519
OTTMUST00000086420.1	noncoding	0.7513
OTTMUST00000008306.2	coding	0.2207
OTTMUST00000056851.1	noncoding	0.8737
OTTMUST00000039799.2	noncoding	0.9063
OTTMUST00000047590.2	coding	0.4076
OTTMUST00000038745.2	noncoding	0.9365
OTTMUST00000159829.1	coding	0.0019
OTTMUST00000045307.1	noncoding	0.9653
OTTMUST00000087763.1	noncoding	0.8687
OTTMUST00000140908.1	noncoding	0.7939
OTTMUST00000063466.1	coding	0.0978
OTTMUST00000142813.1	noncoding	0.9267
OTTMUST00000127353.1	noncoding	0.9475
